country,edyears,pct15_19,pct15_19_male,pct15_19_female,pct15_19_q1,pct15_19_q2,pct15_19_q3,pct15_19_q4,pct15_19_q5,pct20_29,pct20_29_male,pct20_29_female,pct20_29_q1,pct20_29_q2,pct20_29_q3,pct20_29_q4,pct20_29_q5,pct30_39,pct30_39_male,pct30_39_female,pct30_39_q1,pct30_39_q2,pct30_39_q3,pct30_39_q4,pct30_39_q5,pct40_49,pct40_49_male,pct40_49_female,pct40_49_q1,pct40_49_q2,pct40_49_q3,pct40_49_q4,pct40_49_q5
United States,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United States,1,0.9975152,0.99713606,0.99791306,0.99625462,0.99675572,0.99739856,0.99786162,0.99866384,0.99341297,0.99259502,0.99426389,0.99001598,0.99117082,0.99349821,0.99519461,0.99560249,0.99015576,0.98871022,0.99160552,0.97974968,0.98285592,0.98930967,0.99345243,0.99588239,0.98650402,0.98560905,0.98738205,0.97283447,0.97608167,0.98241156,0.98955077,0.99472159
United States,2,0.9972806,0.9969514,0.99762613,0.99602973,0.99655694,0.99717808,0.99767703,0.99834818,0.99276137,0.99189955,0.99365801,0.98913246,0.99032527,0.99287361,0.9947381,0.99503446,0.98924792,0.98780775,0.99069238,0.97810209,0.98098946,0.98821759,0.99306977,0.99545658,0.98545325,0.98458314,0.98630691,0.9703331,0.9744153,0.98084885,0.98878127,0.99441415
United States,3,0.99721348,0.99688184,0.99756157,0.99589401,0.99644178,0.99707937,0.99766153,0.99833798,0.99242264,0.99148357,0.99339968,0.98880666,0.98977041,0.99252778,0.99433893,0.99493855,0.98835939,0.98685288,0.98987037,0.97631687,0.9789508,0.98715782,0.99273491,0.99518657,0.98424923,0.98317897,0.98529917,0.96769679,0.97215062,0.97916514,0.98791838,0.99407065
United States,4,0.99713778,0.99676758,0.99752629,0.9958505,0.99641627,0.99689609,0.99754947,0.99831623,0.99182874,0.990798,0.99290115,0.98814321,0.98886359,0.99175006,0.99385089,0.99472624,0.9865151,0.98463786,0.98839813,0.97276717,0.97483009,0.98563069,0.9916836,0.99431771,0.98165667,0.98036313,0.98292553,0.96282107,0.96653265,0.97523129,0.98637193,0.99336058
United States,5,0.99699414,0.9965958,0.9974122,0.99563026,0.99623978,0.99666339,0.99748105,0.99824685,0.99131268,0.99024791,0.99242049,0.9874959,0.98811191,0.99110216,0.99356419,0.99438429,0.9849208,0.98275393,0.9870941,0.97022784,0.97157454,0.98372895,0.99061251,0.99381101,0.97994083,0.97844636,0.98140687,0.95981932,0.96308142,0.9728114,0.98497611,0.99290073
United States,6,0.99640954,0.99603164,0.99680597,0.99494928,0.99553484,0.99573815,0.9968701,0.99806911,0.99036574,0.98918509,0.99159408,0.98634356,0.9868781,0.99014103,0.99262667,0.99382043,0.98256147,0.98036098,0.98476845,0.96578211,0.96584791,0.9812814,0.98926216,0.9933427,0.97709334,0.97554827,0.97860909,0.95503122,0.95781541,0.96779287,0.9831214,0.99211764
United States,7,0.99473554,0.99414617,0.995354,0.99249738,0.99312812,0.99376565,0.99523163,0.99757785,0.98683822,0.98490119,0.98885351,0.98194355,0.9816978,0.98560792,0.9899177,0.99240923,0.97041905,0.96685088,0.97399747,0.94518638,0.93804204,0.96732593,0.98241997,0.99004281,0.96209735,0.95942938,0.96471471,0.9301827,0.92610437,0.94512999,0.97186613,0.98852241
United States,8,0.98736048,0.98535508,0.9894647,0.98398352,0.98017734,0.98418993,0.98936278,0.99471748,0.98524904,0.98295951,0.98763114,0.97994775,0.97965658,0.98378479,0.9884966,0.99153119,0.9674691,0.96351153,0.97143805,0.93800926,0.93230665,0.96387279,0.98089445,0.98935211,0.95805913,0.95502657,0.96103418,0.92054588,0.91777444,0.93993473,0.96907622,0.98755151
United States,9,0.92063564,0.91267526,0.92898828,0.93027097,0.90071428,0.91242564,0.91999358,0.93239349,0.97924119,0.97595346,0.98266166,0.96989995,0.97129983,0.97758228,0.9844594,0.98832172,0.95781076,0.95297676,0.96265858,0.91613001,0.91345602,0.95272565,0.9758395,0.98645806,0.94769669,0.94360149,0.95171422,0.89634204,0.89728987,0.92677331,0.96187943,0.98446631
United States,10,0.74751824,0.7383846,0.75710183,0.82227099,0.71309805,0.72359681,0.73656833,0.74191016,0.96884447,0.96358442,0.97431695,0.9489882,0.95589542,0.96755189,0.97835732,0.98429418,0.94036776,0.93377721,0.94697714,0.87516713,0.87759972,0.93280733,0.96668476,0.98273379,0.93021131,0.92438227,0.93592978,0.85615867,0.86083454,0.902439,0.95047998,0.98055166
United States,11,0.55449605,0.54227,0.56732446,0.7083959,0.51084471,0.51816529,0.52566963,0.52239978,0.95355463,0.945921,0.96149635,0.91810971,0.93459356,0.95279652,0.96825337,0.97854263,0.92430067,0.91499162,0.93363643,0.82798934,0.85053658,0.91616821,0.9575541,0.97856069,0.91466898,0.90720499,0.92199159,0.81552178,0.83119977,0.88338417,0.93979603,0.97616732
United States,12,0.32164034,0.30748144,0.3364968,0.58326405,0.27294481,0.26868027,0.26616958,0.25066113,0.91277224,0.89843315,0.92768991,0.85210168,0.88022935,0.91117358,0.93740141,0.95648897,0.88698274,0.87241322,0.90159398,0.73952109,0.78865463,0.87528414,0.93315566,0.96533126,0.87941676,0.86680913,0.89178544,0.73160839,0.77294195,0.83947653,0.91141641,0.96382487